graphical_culture = westerngfx
color = {
  125
  171
  84
}
revolutionary_colors = {
  10
  0
  5
}
historical_idea_groups = {
  administrative_ideas
  defensive_ideas
  trade_ideas
  innovativeness_ideas
  maritime_ideas
  offensive_ideas
  economic_ideas
  quality_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  italian_condotta
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "科斯莫 #0" = 60  # Cosimo #0
  "费迪南多 #0" = 60  # Ferdinando #0
  "弗朗切斯科 #0" = 60  # Francesco #0
  "洛多维科 #2" = 40  # Lodovico #2
  "卡洛 #4 埃马努埃莱" = 20  # Carlo #4 Emmanuele
  "卡洛 #4费利切" = 20  # Carlo #4 Felice
  "洛多维科 #2玛丽亚" = 20  # Lodovico #2 Maria
  "亚力山德瑞 #0" = 20  # Alessandre #0
  "弗朗切斯科 #0斯特凡诺" = 20  # Francesco #0 Stefano
  "加莱亚佐 玛丽亚 #0" = 20  # Gian Galeazzo #0
  "吉安 加斯托内 #0" = 20  # Gian Gastone #0
  "马西米利亚诺 #0" = 20  # Massimiliano #0
  "拿破仑 #0" = 20  # Napoleone #0
  "彼得罗 莱奥波尔多 #0" = 20  # Pietro Leopoldo #0
  "维托里奥 阿梅德奥 #0" = 20  # Vittorio Amedeo #0
  "卡洛 #4" = 10  # Carlo #4
  "安东尼奥 #0" = 10  # Antonio #0
  "埃尔梅斯 #0" = 10  # Ermes #0
  "欧亨尼奥 #0" = 10  # Eugenio #0
  "菲利波 #0" = 10  # Filippo #0
  "吉安 卡洛 #0" = 10  # Gian Carlo #0
  "乔瓦尼 #0玛丽亚" = 10  # Giovanni #0 Maria
  "彼得罗 #0" = 10  # Pietro #0
  "阿尔贝托 #1" = 5  # Alberto #1
  "罗多尔福 #1" = 5  # Rodolfo #1
  "阿斯卡尼奥 玛丽亚 #0" = 5  # Ascanio Maria #0
  "奥古斯托 #0" = 5  # Augusto #0
  "贝内代托 #0" = 5  # Benedetto #0
  "埃马努埃莱 菲利贝托 #0" = 5  # Emmanuele Filiberto #0
  "菲利波 #0玛丽亚" = 5  # Filippo #0 Maria
  "乔瓦尼 #0" = 5  # Giovanni #0
  "朱塞佩 #0" = 5  # Giuseppe #0
  "莱奥波尔多 #0" = 5  # Leopoldo #0
  "马泰奥 #0" = 5  # Matteo #0
  "马瑞泽欧 #0" = 5  # Maurizio #0
  "奥塔维亚诺 #0" = 5  # Ottaviano #0
  "拉涅罗 #0" = 5  # Raniero #0
  "斯福尔扎 玛丽亚 #0" = 5  # Sforza Maria #0
  "阿戈斯蒂诺 #0" = 0  # Agostino #0
  "康斯坦索 #0" = 0  # Constanzo #0
  "德梅特里奥 #0" = 0  # Demetrio #0
  "法比奥 #0" = 0  # Fabio #0
  "焦尔达诺 #0" = 0  # Giordano #0
  "伊西多罗 #0" = 0  # Isidoro #0
  "尼科洛 #0" = 0  # Niccolò #0
  "保罗 #0" = 0  # Paolo #0
  "罗密欧 #0" = 0  # Romeo #0
  "塞韦里诺 #0" = 0  # Severino #0
  "维托里奥 #0" = 0  # Vittorio #0
  "维奥拉 #0" = -1  # Viola #0
  "赛伊拉 #0" = -1  # Zaira #0
  "安杰丽卡 #0" = -1  # Angelica #0
}
leader_names = {
  "阿皮亚诺 迪 阿拉戈纳"  # Appiani d'Aragona
  "阿尔博里奥 梅拉"  # Arborio Mella
  "巴尔贝里尼"  # Barberini
  "巴尔扎利"  # Barzagli
  "邦孔帕尼"  # Boncompagni
  "博尔盖塞"  # Borghese
  "博罗梅奥"  # Borromeo
  "博纳罗蒂"  # Buonarroti
  "迪 布斯卡"  # di Busca
  "迪 坎普法哥索"  # di Campofregoso
  "卡拉法"  # Carafa
  "迪 卡尔代"  # di Cardé
  "德尔 卡雷托"  # del Carreto
